placekey,location_name,lat,lon,top_category,sub_category,borough,income_known_devices,income_mixing_score,expected_mixing_score,mixing_residual_z,balance_score,expected_balance_score,balance_residual_z,bootstrap_stability_pct,months_confirmed,evidence_tier,direction
zzy-222@627-vvn-j7q,Yafa Shawarma Food Truck,40.583534,-74.085815,Restaurants and Other Eating Places,Limited-Service Restaurants,Staten Island,196,0.8434,0.8757,-0.585,0.6148,0.6784,-0.772,,0,none,
22w-222@627-s6h-j9z,El Sazn Ideal,40.853813,-73.914633,Restaurants and Other Eating Places,Full-Service Restaurants,Bronx,96,0.6913,0.6698,0.279,0.4453,0.4449,0.004,,0,none,
22w-223@627-wc7-wzf,Gazab,40.718064,-73.98864,Food Services and Drinking Places,,Manhattan,594,0.9896,0.9806,0.286,0.9082,0.8755,0.485,,0,none,
23v-222@627-wdk-3bk,T & D Bakery,40.599862,-73.948254,Restaurants and Other Eating Places,Limited-Service Restaurants,Brooklyn,247,0.9393,0.9364,0.049,0.748,0.7513,-0.083,,0,none,
222-224@627-s8p-z4v,Griddle,40.739586,-73.937905,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,Queens,115,0.9528,0.9118,0.889,0.7826,0.6916,1.326,,0,none,
zzw-223@627-s85-rc5,Planet Fitness,40.654399,-73.88814,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,Brooklyn,138,0.9108,0.9227,-0.382,0.7355,0.7555,-0.339,,0,none,
zzw-224@627-s83-5j9,Popeyes Louisiana Kitchen,40.654519,-73.839175,Restaurants and Other Eating Places,Limited-Service Restaurants,Queens,203,0.9292,0.8925,0.796,0.7833,0.7584,0.375,,0,none,
226-222@627-wdh-j7q,Amazing Savings,40.618589,-73.959223,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Brooklyn,335,0.9565,0.9342,0.61,0.8209,0.7648,0.829,,0,none,
225-222@627-s6f-w49,Popeyes Louisiana Kitchen,40.811196,-73.927707,Restaurants and Other Eating Places,Limited-Service Restaurants,Bronx,169,0.7617,0.6814,1.05,0.5607,0.4653,1.142,,0,none,
zzy-225@627-sb2-jy9,Father and Son Halal Cart,40.726389,-73.811432,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,Queens,170,0.9513,0.8949,1.222,0.7941,0.7352,0.864,,0,none,
227-22c@627-wbv-hyv,Limusina,40.753718,-73.996473,Restaurants and Other Eating Places,Full-Service Restaurants,Manhattan,254,0.9918,0.9763,0.453,0.9045,0.8549,0.713,,0,none,
